CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
4.1135,0.0115,2.09323,0.01224,-0.01346,JWST Transiting Exoplanet Community ERS Team 2022,0.14468,0.00042,-0.00047,JWST Transiting Exoplanet Community ERS Team 2022,1.2601,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.1365,0.0115,2.10741,0.0113,-0.01067,JWST Transiting Exoplanet Community ERS Team 2022,0.14517,0.00039,-0.00037,JWST Transiting Exoplanet Community ERS Team 2022,1.2643,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.16,0.012,2.13196,0.01319,-0.01371,JWST Transiting Exoplanet Community ERS Team 2022,0.14601,0.00045,-0.00047,JWST Transiting Exoplanet Community ERS Team 2022,1.2717,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.184,0.012,2.12331,0.01098,-0.01122,JWST Transiting Exoplanet Community ERS Team 2022,0.14572,0.00038,-0.00039,JWST Transiting Exoplanet Community ERS Team 2022,1.2691,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.2075,0.0115,2.1915,0.01332,-0.0134,JWST Transiting Exoplanet Community ERS Team 2022,0.14804,0.00045,-0.00045,JWST Transiting Exoplanet Community ERS Team 2022,1.2893,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.2305,0.0115,2.19001,0.01069,-0.01052,JWST Transiting Exoplanet Community ERS Team 2022,0.14799,0.00036,-0.00036,JWST Transiting Exoplanet Community ERS Team 2022,1.2889,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.254,0.012,2.23726,0.01297,-0.0143,JWST Transiting Exoplanet Community ERS Team 2022,0.14957,0.00043,-0.00048,JWST Transiting Exoplanet Community ERS Team 2022,1.3027,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.278,0.012,2.24638,0.01164,-0.01231,JWST Transiting Exoplanet Community ERS Team 2022,0.14988,0.00039,-0.00041,JWST Transiting Exoplanet Community ERS Team 2022,1.3054,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.3015,0.0115,2.24213,0.01385,-0.01357,JWST Transiting Exoplanet Community ERS Team 2022,0.14974,0.00046,-0.00045,JWST Transiting Exoplanet Community ERS Team 2022,1.3041,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.3245,0.0115,2.24294,0.01177,-0.01172,JWST Transiting Exoplanet Community ERS Team 2022,0.14976,0.00039,-0.00039,JWST Transiting Exoplanet Community ERS Team 2022,1.3044,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.348,0.012,2.26734,0.01402,-0.01465,JWST Transiting Exoplanet Community ERS Team 2022,0.15058,0.00046,-0.00049,JWST Transiting Exoplanet Community ERS Team 2022,1.3114,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.372,0.012,2.25226,0.01245,-0.01272,JWST Transiting Exoplanet Community ERS Team 2022,0.15008,0.00041,-0.00042,JWST Transiting Exoplanet Community ERS Team 2022,1.3071,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.3955,0.0115,2.26228,0.01294,-0.01349,JWST Transiting Exoplanet Community ERS Team 2022,0.15041,0.00043,-0.00045,JWST Transiting Exoplanet Community ERS Team 2022,1.31,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.4185,0.0115,2.26617,0.0145,-0.01482,JWST Transiting Exoplanet Community ERS Team 2022,0.15054,0.00048,-0.00049,JWST Transiting Exoplanet Community ERS Team 2022,1.3111,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.466,0.012,2.18959,0.0122,-0.01324,JWST Transiting Exoplanet Community ERS Team 2022,0.14797,0.00041,-0.00045,JWST Transiting Exoplanet Community ERS Team 2022,1.2888,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.4895,0.0115,2.21697,0.01423,-0.01512,JWST Transiting Exoplanet Community ERS Team 2022,0.1489,0.00048,-0.00051,JWST Transiting Exoplanet Community ERS Team 2022,1.2968,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.5125,0.0115,2.16021,0.013,-0.01398,JWST Transiting Exoplanet Community ERS Team 2022,0.14698,0.00044,-0.00048,JWST Transiting Exoplanet Community ERS Team 2022,1.2801,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.536,0.012,2.1702,0.01253,-0.01312,JWST Transiting Exoplanet Community ERS Team 2022,0.14732,0.00042,-0.00045,JWST Transiting Exoplanet Community ERS Team 2022,1.283,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.56,0.012,2.17521,0.01643,-0.01642,JWST Transiting Exoplanet Community ERS Team 2022,0.14749,0.00056,-0.00056,JWST Transiting Exoplanet Community ERS Team 2022,1.2845,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.583,0.012,2.16568,0.01372,-0.0146,JWST Transiting Exoplanet Community ERS Team 2022,0.14716,0.00047,-0.0005,JWST Transiting Exoplanet Community ERS Team 2022,1.2817,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.6065,0.0115,2.1627,0.01411,-0.01481,JWST Transiting Exoplanet Community ERS Team 2022,0.14706,0.00048,-0.0005,JWST Transiting Exoplanet Community ERS Team 2022,1.2808,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.63,0.012,2.14074,0.0145,-0.01289,JWST Transiting Exoplanet Community ERS Team 2022,0.14631,0.00049,-0.00044,JWST Transiting Exoplanet Community ERS Team 2022,1.2743,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.654,0.012,2.15652,0.01676,-0.0171,JWST Transiting Exoplanet Community ERS Team 2022,0.14685,0.00057,-0.00058,JWST Transiting Exoplanet Community ERS Team 2022,1.279,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.6775,0.0115,2.14231,0.01446,-0.01439,JWST Transiting Exoplanet Community ERS Team 2022,0.14637,0.00049,-0.00049,JWST Transiting Exoplanet Community ERS Team 2022,1.2748,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.7005,0.0115,2.15389,0.01446,-0.01463,JWST Transiting Exoplanet Community ERS Team 2022,0.14676,0.00049,-0.0005,JWST Transiting Exoplanet Community ERS Team 2022,1.2782,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.748,0.012,2.1399,0.01438,-0.01561,JWST Transiting Exoplanet Community ERS Team 2022,0.14628,0.00049,-0.00053,JWST Transiting Exoplanet Community ERS Team 2022,1.274,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.7715,0.0115,2.19199,0.0181,-0.01776,JWST Transiting Exoplanet Community ERS Team 2022,0.14805,0.00061,-0.0006,JWST Transiting Exoplanet Community ERS Team 2022,1.2895,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.7945,0.0115,2.14884,0.01388,-0.01409,JWST Transiting Exoplanet Community ERS Team 2022,0.14659,0.00047,-0.00048,JWST Transiting Exoplanet Community ERS Team 2022,1.2767,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.818,0.012,2.1335,0.01518,-0.01518,JWST Transiting Exoplanet Community ERS Team 2022,0.14607,0.00052,-0.00052,JWST Transiting Exoplanet Community ERS Team 2022,1.2721,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.842,0.012,2.15286,0.01492,-0.01526,JWST Transiting Exoplanet Community ERS Team 2022,0.14673,0.00051,-0.00052,JWST Transiting Exoplanet Community ERS Team 2022,1.2779,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.865,0.012,2.13447,0.01639,-0.01501,JWST Transiting Exoplanet Community ERS Team 2022,0.1461,0.00056,-0.00051,JWST Transiting Exoplanet Community ERS Team 2022,1.2724,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.8885,0.0115,2.11139,0.01582,-0.01626,JWST Transiting Exoplanet Community ERS Team 2022,0.14531,0.00054,-0.00056,JWST Transiting Exoplanet Community ERS Team 2022,1.2655,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.912,0.012,2.11146,0.01614,-0.01634,JWST Transiting Exoplanet Community ERS Team 2022,0.14531,0.00055,-0.00056,JWST Transiting Exoplanet Community ERS Team 2022,1.2655,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.936,0.012,2.16074,0.01622,-0.01578,JWST Transiting Exoplanet Community ERS Team 2022,0.14699,0.00055,-0.00054,JWST Transiting Exoplanet Community ERS Team 2022,1.2802,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.9595,0.0115,2.17869,0.0163,-0.01552,JWST Transiting Exoplanet Community ERS Team 2022,0.1476,0.00055,-0.00053,JWST Transiting Exoplanet Community ERS Team 2022,1.2855,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.9825,0.0115,2.09588,0.01543,-0.01508,JWST Transiting Exoplanet Community ERS Team 2022,0.14477,0.00053,-0.00052,JWST Transiting Exoplanet Community ERS Team 2022,1.2609,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.006,0.012,2.14136,0.01514,-0.01678,JWST Transiting Exoplanet Community ERS Team 2022,0.14633,0.00052,-0.00057,JWST Transiting Exoplanet Community ERS Team 2022,1.2745,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.03,0.012,2.10495,0.0164,-0.01727,JWST Transiting Exoplanet Community ERS Team 2022,0.14508,0.00056,-0.0006,JWST Transiting Exoplanet Community ERS Team 2022,1.2636,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.0765,0.0115,2.15332,0.01729,-0.01785,JWST Transiting Exoplanet Community ERS Team 2022,0.14674,0.00059,-0.00061,JWST Transiting Exoplanet Community ERS Team 2022,1.278,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.1,0.012,2.12428,0.01848,-0.01813,JWST Transiting Exoplanet Community ERS Team 2022,0.14575,0.00063,-0.00062,JWST Transiting Exoplanet Community ERS Team 2022,1.2694,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.124,0.012,2.1358,0.01718,-0.01701,JWST Transiting Exoplanet Community ERS Team 2022,0.14614,0.00059,-0.00058,JWST Transiting Exoplanet Community ERS Team 2022,1.2728,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.147,0.012,2.16373,0.018,-0.01764,JWST Transiting Exoplanet Community ERS Team 2022,0.1471,0.00061,-0.0006,JWST Transiting Exoplanet Community ERS Team 2022,1.2811,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.1705,0.0115,2.11395,0.01897,-0.01899,JWST Transiting Exoplanet Community ERS Team 2022,0.14539,0.00065,-0.00065,JWST Transiting Exoplanet Community ERS Team 2022,1.2663,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.194,0.012,2.10835,0.01678,-0.01954,JWST Transiting Exoplanet Community ERS Team 2022,0.1452,0.00058,-0.00067,JWST Transiting Exoplanet Community ERS Team 2022,1.2646,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.218,0.012,2.14099,0.01617,-0.0162,JWST Transiting Exoplanet Community ERS Team 2022,0.14632,0.00055,-0.00055,JWST Transiting Exoplanet Community ERS Team 2022,1.2744,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.2415,0.0115,2.18308,0.01951,-0.0181,JWST Transiting Exoplanet Community ERS Team 2022,0.14775,0.00066,-0.00061,JWST Transiting Exoplanet Community ERS Team 2022,1.2868,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.2645,0.0115,2.13801,0.01916,-0.01908,JWST Transiting Exoplanet Community ERS Team 2022,0.14622,0.00065,-0.00065,JWST Transiting Exoplanet Community ERS Team 2022,1.2735,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.288,0.012,2.11852,0.01886,-0.01746,JWST Transiting Exoplanet Community ERS Team 2022,0.14555,0.00065,-0.0006,JWST Transiting Exoplanet Community ERS Team 2022,1.2677,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
